Name,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Team,Category
DHAWAL KULKARNI,2010,1,4,40,1,10,40,24,0,1/1,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2011,6,20,149,5,7.45,29.8,24,0,3/26,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2012,4,15,135,6,9,22.5,15,0,3/18,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2013,6,18.4,151,8,8.09,18.9,14,0,3/19,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2014,8,27,221,6,8.19,36.8,27,0,2/23,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2015,11,35,277,13,7.91,21.3,16.2,0,2/9,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2016,14,49,364,18,7.43,20.2,16.3,0,4/14,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2017,6,18.5,173,3,9.19,57.7,37.7,0,1/24,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2018,8,19.5,188,4,9.48,47,29.8,0,2/1,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2019,10,35,335,6,9.57,55.8,35,0,1/14,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2020,1,3,22,0,7.33,NA,NA,0,0/22,Mumbai Indians,BOWLER
DHAWAL KULKARNI,2021,3,11,84,0,7.64,NA,NA,0,0/17,Mumbai Indians,BOWLER
ADAM MILNE,2010,2,8,63,2,7.88,31.5,24,0,1/28,Mumbai Indians,BOWLER
ADAM MILNE,2016,1,4,43,1,10.75,43,24,0,1/1,Mumbai Indians,BOWLER
ADAM MILNE,2017,12,43.5,354,19,8.08,18.6,13.8,1,5/11,Mumbai Indians,BOWLER
ADAM MILNE,2018,11,41.3,297,13,7.16,22.8,19.2,0,4/15,Mumbai Indians,BOWLER
ADAM MILNE,2019,12,42.1,313,16,7.42,19.6,15.8,0,3/12,Mumbai Indians,BOWLER
ADAM MILNE,2020,3,11,72,2,6.55,36,33,0,2/21,Mumbai Indians,BOWLER
ADAM MILNE,2021,9,33,261,3,7.91,87,66,0,1/6,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2011,1,4,28,0,7,NA,NA,0,0/28,Mumbai Indians,BOWLER
NATHAN COULTER NILE,2012,13,44,326,15,7.41,21.7,17.6,0,3/9,Mumbai Indians,BOWLER
